"";"Q1";"Q2";"Q3";"Q4";"Q5";"Q6";"Q7";"Q8";"Q9";"Q10";"Q11";"Q12";"Q13";"Q14";"Q15";"Q16";"Q17"
"175";"Não concordo nem discordo";"Concordo fortemente";"Concordo";"Discordo";"Não concordo nem discordo";"Concordo";"Discordo";"Discordo fortemente";"Discordo";"Discordo fortemente";"Discordo fortemente";"Discordo fortemente";"Discordo fortemente";"Concordo fortemente";"Discordo fortemente";"Discordo fortemente";"Concordo fortemente"
"176";"Discordo fortemente";"Não concordo nem discordo";"Concordo fortemente";"Concordo";"Discordo fortemente";"Concordo fortemente";"Não concordo nem discordo";"Discordo fortemente";"Não concordo nem discordo";"Discordo fortemente";"Discordo";"Discordo fortemente";"Discordo fortemente";"Concordo fortemente";"Discordo fortemente";"Concordo parcialmente";"Discordo fortemente"
"177";"Discordo fortemente";"Discordo fortemente";"Concordo";"Não concordo nem discordo";"Discordo fortemente";"Concordo";"Concordo";"Discordo fortemente";"Discordo";"Discordo fortemente";"Discordo fortemente";"Discordo";"Discordo fortemente";"Concordo fortemente";"Discordo fortemente";"Discordo parcialmente";"Concordo fortemente"
"178";"Discordo";"Discordo fortemente";"Concordo";"Concordo fortemente";"Discordo fortemente";"Concordo fortemente";"Discordo";"Concordo fortemente";"Não concordo nem discordo";"Discordo";"Discordo fortemente";"Discordo fortemente";"Discordo fortemente";"Concordo parcialmente";"Discordo parcialmente";"Concordo";"Não concordo nem discordo"
"179";"Discordo fortemente";"Discordo";"Concordo fortemente";"Concordo fortemente";"Discordo fortemente";"Concordo fortemente";"Discordo fortemente";"Discordo fortemente";"Não concordo nem discordo";"Discordo";"Discordo fortemente";"Discordo fortemente";"Discordo fortemente";"Concordo fortemente";"Não concordo nem discordo";"Concordo parcialmente";"Discordo fortemente"
"180";"Discordo fortemente";"Discordo fortemente";"Concordo";"Discordo";"Concordo";"Discordo";"Não concordo nem discordo";"Discordo";"Concordo";"Discordo fortemente";"Concordo fortemente";"Concordo";"Discordo fortemente";"Concordo parcialmente";"Discordo fortemente";"Discordo parcialmente";"Concordo"
"181";"Concordo";"Discordo";"Discordo";"Concordo fortemente";"Discordo";"Concordo";"Não concordo nem discordo";"Não concordo nem discordo";"Não concordo nem discordo";"Discordo fortemente";"Discordo fortemente";"Discordo";"Discordo parcialmente";"Discordo parcialmente";"Discordo parcialmente";"Não concordo nem discordo";"Concordo parcialmente"
"182";"Discordo fortemente";"Discordo fortemente";"Não concordo nem discordo";"Discordo";"Discordo";"Não concordo nem discordo";"Não concordo nem discordo";"Discordo";"Discordo fortemente";"Discordo fortemente";"Discordo";"Discordo fortemente";"Discordo";"Discordo";"Não concordo nem discordo";"Discordo parcialmente";"Não concordo nem discordo"
"183";"Discordo fortemente";"Discordo";"Não concordo nem discordo";"Concordo fortemente";"Discordo fortemente";"Concordo";"Discordo fortemente";"Discordo fortemente";"Discordo";"Discordo fortemente";"Discordo";"Não concordo nem discordo";"Discordo fortemente";"Discordo";"Não concordo nem discordo";"Discordo";"Concordo fortemente"
"184";"Discordo";"Discordo";"Discordo";"Discordo";"Discordo";"Concordo";"Discordo fortemente";"Discordo";"Discordo";"Discordo";"Discordo";"Discordo fortemente";"Discordo fortemente";"Discordo parcialmente";"Discordo parcialmente";"Discordo parcialmente";"Não concordo nem discordo"
"185";"Não concordo nem discordo";"Discordo";"Não concordo nem discordo";"Não concordo nem discordo";"Discordo";"Concordo fortemente";"Concordo";"Não concordo nem discordo";"Não concordo nem discordo";"Discordo fortemente";"Discordo";"Não concordo nem discordo";"Não concordo nem discordo";"Discordo parcialmente";"Discordo fortemente";"Não concordo nem discordo";"Concordo parcialmente"
"186";"Discordo fortemente";"Discordo fortemente";"Concordo fortemente";"Concordo fortemente";"Discordo fortemente";"Concordo fortemente";"Discordo";"Discordo fortemente";"Discordo";"Discordo fortemente";"Discordo fortemente";"Discordo fortemente";"Discordo fortemente";"Discordo fortemente";"Discordo fortemente";"Concordo fortemente";"Concordo fortemente"
"187";"Não concordo nem discordo";"Discordo fortemente";"Não concordo nem discordo";"Discordo";"Discordo";"Concordo fortemente";"Concordo fortemente";"Discordo fortemente";"Discordo";"Concordo";"Não concordo nem discordo";"Discordo fortemente";"Discordo fortemente";"Concordo fortemente";"Discordo fortemente";"Concordo fortemente";"Concordo parcialmente"
"188";"Discordo";"Discordo";"Não concordo nem discordo";"Discordo";"Discordo";"Concordo";"Discordo fortemente";"Discordo fortemente";"Não concordo nem discordo";"Concordo";"Não concordo nem discordo";"Concordo fortemente";"Não concordo nem discordo";"Concordo";"Concordo parcialmente";"Concordo fortemente";"Discordo parcialmente"
"189";"Não concordo nem discordo";"Discordo";"Discordo";"Discordo";"Não concordo nem discordo";"Não concordo nem discordo";"Concordo";"Não concordo nem discordo";"Concordo";"Não concordo nem discordo";"Concordo";"Discordo";"Não concordo nem discordo";"Concordo parcialmente";"Discordo parcialmente";"Discordo fortemente";"Não concordo nem discordo"
"190";"Discordo";"Discordo fortemente";"Concordo fortemente";"Discordo";"Discordo";"Concordo";"Concordo";"Concordo fortemente";"Concordo";"Concordo";"Concordo fortemente";"Discordo";"Discordo fortemente";"Não concordo nem discordo";"Concordo";"Discordo parcialmente";"Discordo fortemente"
"191";"Discordo fortemente";"Discordo fortemente";"Concordo fortemente";"Concordo fortemente";"Discordo fortemente";"Concordo fortemente";"Discordo";"Não concordo nem discordo";"Não concordo nem discordo";"Discordo";"Discordo fortemente";"Discordo";"Discordo fortemente";"Não concordo nem discordo";"Discordo parcialmente";"Discordo";"Concordo parcialmente"
"192";"Não concordo nem discordo";"Concordo";"Não concordo nem discordo";"Discordo";"Concordo";"Não concordo nem discordo";"Concordo";"Concordo";"Concordo";"Discordo";"Não concordo nem discordo";"Não concordo nem discordo";"Discordo fortemente";"Discordo fortemente";"Discordo parcialmente";"Discordo parcialmente";"Concordo"
"193";"Discordo fortemente";"Discordo fortemente";"Não concordo nem discordo";"Não concordo nem discordo";"Não concordo nem discordo";"Concordo";"Concordo";"Não concordo nem discordo";"Não concordo nem discordo";"Discordo";"Concordo fortemente";"Discordo fortemente";"Discordo fortemente";"Não concordo nem discordo";"Discordo fortemente";"Discordo parcialmente";"Discordo fortemente"
"194";"Concordo fortemente";"Discordo fortemente";"Discordo";"Concordo fortemente";"Discordo";"Concordo fortemente";"Concordo";"Concordo";"Concordo fortemente";"Discordo fortemente";"Discordo fortemente";"Discordo fortemente";"Discordo fortemente";"Concordo";"Não concordo nem discordo";"Discordo parcialmente";"Concordo"
"195";"Discordo";"Discordo fortemente";"Concordo";"Concordo fortemente";"Discordo";"Concordo fortemente";"Não concordo nem discordo";"Discordo";"Concordo fortemente";"Discordo fortemente";"Discordo";"Discordo";"Concordo";"Discordo fortemente";"Discordo";"Concordo fortemente";"Concordo fortemente"
"196";"Discordo";"Discordo";"Concordo";"Concordo";"Discordo";"Concordo";"Discordo";"Discordo";"Concordo fortemente";"Discordo";"Discordo";"Discordo";"Discordo fortemente";"Concordo parcialmente";"Discordo parcialmente";"Discordo parcialmente";"Discordo"
"197";"Discordo fortemente";"Discordo";"Concordo fortemente";"Concordo";"Não concordo nem discordo";"Concordo fortemente";"Não concordo nem discordo";"Discordo fortemente";"Não concordo nem discordo";"Discordo fortemente";"Discordo fortemente";"Discordo fortemente";"Discordo fortemente";"Discordo";"Discordo";"Discordo";"Concordo"
"198";"Discordo fortemente";"Discordo fortemente";"Discordo";"Não concordo nem discordo";"Discordo fortemente";"Não concordo nem discordo";"Discordo fortemente";"Concordo";"Discordo fortemente";"Discordo";"Não concordo nem discordo";"Discordo";"Discordo fortemente";"Discordo";"Concordo";"Discordo parcialmente";"Concordo fortemente"
"199";"Discordo";"Discordo fortemente";"Concordo";"Concordo";"Discordo";"Concordo fortemente";"Não concordo nem discordo";"Discordo fortemente";"Discordo";"Discordo fortemente";"Discordo fortemente";"Discordo fortemente";"Discordo fortemente";"Concordo";"Discordo";"Discordo parcialmente";"Concordo fortemente"
"200";"Concordo fortemente";"Discordo fortemente";"Não concordo nem discordo";"Discordo";"Discordo fortemente";"Discordo";"Não concordo nem discordo";"Não concordo nem discordo";"Concordo";"Não concordo nem discordo";"Discordo fortemente";"Discordo";"Discordo fortemente";"Discordo fortemente";"Discordo fortemente";"Discordo fortemente";"Discordo fortemente"
"201";"Discordo";"Discordo fortemente";"Não concordo nem discordo";"Concordo fortemente";"Discordo fortemente";"Concordo fortemente";"Não concordo nem discordo";"Não concordo nem discordo";"Concordo";"Discordo";"Discordo";"Discordo";"Discordo fortemente";"Discordo parcialmente";"Discordo fortemente";"Discordo parcialmente";"Concordo"
"202";"Discordo";"Discordo";"Concordo";"Não concordo nem discordo";"Concordo fortemente";"Concordo";"Concordo fortemente";"Não concordo nem discordo";"Não concordo nem discordo";"Discordo fortemente";"Discordo";"Discordo";"Discordo fortemente";"Concordo fortemente";"Discordo parcialmente";"Discordo parcialmente";"Concordo"
"203";"Discordo";"Discordo";"Não concordo nem discordo";"Concordo fortemente";"Discordo";"Concordo fortemente";"Não concordo nem discordo";"Não concordo nem discordo";"Discordo";"Discordo fortemente";"Discordo";"Não concordo nem discordo";"Não concordo nem discordo";"Concordo parcialmente";"Não concordo nem discordo";"Não concordo nem discordo";"Concordo"
"204";"Discordo";"Discordo";"Concordo fortemente";"Concordo fortemente";"Discordo";"Concordo fortemente";"Discordo fortemente";"Discordo fortemente";"Concordo fortemente";"Discordo fortemente";"Discordo";"Concordo fortemente";"Discordo fortemente";"Concordo parcialmente";"Concordo";"Não concordo nem discordo";"Não concordo nem discordo"
"205";"Discordo fortemente";"Discordo";"Concordo";"Concordo";"Discordo fortemente";"Concordo fortemente";"Discordo fortemente";"Discordo";"Não concordo nem discordo";"Discordo fortemente";"Discordo fortemente";"Discordo";"Discordo fortemente";"Concordo parcialmente";"Discordo parcialmente";"Concordo";"Concordo fortemente"
"206";"Não concordo nem discordo";"Discordo";"Não concordo nem discordo";"Não concordo nem discordo";"Não concordo nem discordo";"Discordo fortemente";"Concordo fortemente";"Concordo fortemente";"Não concordo nem discordo";"Discordo fortemente";"Discordo fortemente";"Discordo fortemente";"Discordo parcialmente";"Discordo parcialmente";"Não concordo nem discordo";"Discordo parcialmente";"Não concordo nem discordo"
"207";"Não concordo nem discordo";"Discordo fortemente";"Discordo";"Não concordo nem discordo";"Discordo fortemente";"Concordo";"Não concordo nem discordo";"Não concordo nem discordo";"Não concordo nem discordo";"Não concordo nem discordo";"Não concordo nem discordo";"Não concordo nem discordo";"Discordo fortemente";"Discordo fortemente";"Discordo";"Discordo parcialmente";"Concordo fortemente"
"208";"Não concordo nem discordo";"Discordo";"Não concordo nem discordo";"Discordo fortemente";"Não concordo nem discordo";"Não concordo nem discordo";"Não concordo nem discordo";"Discordo fortemente";"Discordo fortemente";"Discordo fortemente";"Concordo fortemente";"Não concordo nem discordo";"Discordo fortemente";"Não concordo nem discordo";"Não concordo nem discordo";"Não concordo nem discordo";"Discordo fortemente"
"209";"Discordo fortemente";"Discordo fortemente";"Discordo fortemente";"Discordo fortemente";"Discordo fortemente";"Concordo";"Discordo fortemente";"Discordo fortemente";"Discordo fortemente";"Discordo fortemente";"Concordo fortemente";"Discordo fortemente";"Discordo fortemente";"Discordo fortemente";"Discordo fortemente";"Discordo fortemente";"Discordo fortemente"
"210";"Não concordo nem discordo";"Discordo";"Não concordo nem discordo";"Discordo";"Discordo";"Discordo";"Discordo fortemente";"Discordo";"Discordo";"Discordo fortemente";"Discordo";"Discordo";"Discordo fortemente";"Discordo fortemente";"Discordo";"Discordo fortemente";"Discordo fortemente"
"211";"Não concordo nem discordo";"Discordo fortemente";"Não concordo nem discordo";"Concordo";"Discordo fortemente";"Concordo fortemente";"Discordo fortemente";"Discordo fortemente";"Discordo fortemente";"Concordo";"Não concordo nem discordo";"Não concordo nem discordo";"Discordo fortemente";"Não concordo nem discordo";"Não concordo nem discordo";"Não concordo nem discordo";"Concordo parcialmente"
"212";"Discordo";"Discordo fortemente";"Discordo fortemente";"Discordo fortemente";"Concordo fortemente";"Discordo fortemente";"Não concordo nem discordo";"Concordo";"Concordo fortemente";"Discordo fortemente";"Concordo";"Concordo";"Discordo fortemente";"Concordo";"Discordo fortemente";"Discordo parcialmente";"Concordo"
"213";"Não concordo nem discordo";"Concordo";"Discordo";"Discordo fortemente";"Discordo";"Não concordo nem discordo";"Concordo";"Discordo";"Concordo fortemente";"Discordo fortemente";"Concordo fortemente";"Discordo";"Discordo fortemente";"Não concordo nem discordo";"Discordo";"Discordo parcialmente";"Concordo parcialmente"
"214";"Discordo";"Discordo";"Concordo";"Discordo";"Discordo fortemente";"Não concordo nem discordo";"Discordo fortemente";"Não concordo nem discordo";"Discordo";"Discordo fortemente";"Discordo";"Não concordo nem discordo";"Discordo fortemente";"Não concordo nem discordo";"Discordo parcialmente";"Discordo parcialmente";"Discordo"
"215";"Não concordo nem discordo";"Discordo";"Concordo";"Concordo";"Discordo fortemente";"Concordo fortemente";"Discordo";"Discordo fortemente";"Concordo";"Discordo fortemente";"Discordo";"Discordo fortemente";"Discordo";"Discordo fortemente";"Discordo";"Discordo fortemente";"Discordo fortemente"
"216";"Discordo";"Discordo";"Concordo";"Não concordo nem discordo";"Discordo";"Concordo";"Discordo fortemente";"Discordo fortemente";"Concordo fortemente";"Discordo fortemente";"Discordo fortemente";"Discordo fortemente";"Discordo fortemente";"Discordo fortemente";"Discordo fortemente";"Discordo fortemente";"Discordo fortemente"
"217";"Discordo";"Concordo";"Discordo";"Concordo";"Discordo";"Concordo";"Discordo";"Não concordo nem discordo";"Não concordo nem discordo";"Discordo fortemente";"Não concordo nem discordo";"Discordo fortemente";"Discordo fortemente";"Concordo parcialmente";"Não concordo nem discordo";"Não concordo nem discordo";"Concordo"
"218";"Discordo fortemente";"Discordo";"Concordo";"Não concordo nem discordo";"Discordo fortemente";"Concordo fortemente";"Discordo fortemente";"Discordo fortemente";"Discordo";"Discordo fortemente";"Discordo fortemente";"Discordo fortemente";"Discordo fortemente";"Concordo fortemente";"Discordo fortemente";"Discordo parcialmente";"Concordo fortemente"
"219";"Não concordo nem discordo";"Não concordo nem discordo";"Concordo";"Concordo";"Discordo fortemente";"Concordo";"Discordo";"Não concordo nem discordo";"Discordo fortemente";"Discordo";"Discordo";"Discordo fortemente";"Discordo fortemente";"Não concordo nem discordo";"Não concordo nem discordo";"Concordo parcialmente";"Concordo parcialmente"
"220";"Discordo fortemente";"Discordo";"Concordo";"Discordo";"Discordo";"Concordo";"Concordo fortemente";"Não concordo nem discordo";"Discordo fortemente";"Discordo fortemente";"Discordo fortemente";"Discordo fortemente";"Discordo fortemente";"Discordo fortemente";"Discordo fortemente";"Discordo fortemente";"Discordo parcialmente"
"221";"Discordo fortemente";"Discordo fortemente";"Não concordo nem discordo";"Concordo";"Discordo";"Concordo";"Concordo";"Concordo fortemente";"Concordo fortemente";"Discordo fortemente";"Discordo";"Não concordo nem discordo";"Discordo fortemente";"Concordo fortemente";"Discordo parcialmente";"Discordo";"Concordo"
"222";"Discordo fortemente";"Não concordo nem discordo";"Não concordo nem discordo";"Concordo fortemente";"Discordo fortemente";"Concordo";"Discordo";"Concordo fortemente";"Concordo";"Discordo fortemente";"Discordo";"Discordo";"Discordo fortemente";"Concordo parcialmente";"Discordo parcialmente";"Não concordo nem discordo";"Não concordo nem discordo"
"223";"Discordo";"Discordo";"Concordo";"Discordo";"Discordo fortemente";"Concordo";"Discordo";"Concordo fortemente";"Concordo fortemente";"Discordo";"Discordo";"Discordo";"Concordo fortemente";"Concordo fortemente";"Concordo";"Concordo fortemente";"Discordo"
"224";"Discordo";"Não concordo nem discordo";"Não concordo nem discordo";"Discordo";"Discordo";"Concordo";"Discordo";"Concordo fortemente";"Concordo";"Discordo";"Discordo";"Discordo fortemente";"Discordo fortemente";"Concordo";"Concordo";"Concordo parcialmente";"Discordo"
"225";"Não concordo nem discordo";"Discordo";"Concordo";"Concordo";"Discordo fortemente";"Concordo";"Não concordo nem discordo";"Concordo";"Concordo fortemente";"Discordo";"Não concordo nem discordo";"Discordo fortemente";"Discordo fortemente";"Concordo parcialmente";"Discordo parcialmente";"Discordo parcialmente";"Concordo parcialmente"
"226";"Discordo";"Discordo fortemente";"Concordo fortemente";"Concordo fortemente";"Discordo";"Concordo fortemente";"Discordo";"Discordo fortemente";"Discordo";"Não concordo nem discordo";"Discordo fortemente";"Discordo fortemente";"Discordo fortemente";"Concordo fortemente";"Discordo fortemente";"Concordo fortemente";"Concordo fortemente"
"227";"Discordo";"Concordo";"Discordo";"Discordo";"Concordo";"Concordo";"Discordo fortemente";"Concordo";"Concordo";"Concordo";"Não concordo nem discordo";"Discordo fortemente";"Discordo";"Discordo";"Discordo";"Discordo";"Concordo fortemente"
"228";"Discordo";"Discordo";"Concordo fortemente";"Concordo";"Discordo";"Concordo fortemente";"Concordo";"Discordo";"Concordo fortemente";"Discordo fortemente";"Discordo";"Discordo fortemente";"Discordo fortemente";"Discordo parcialmente";"Não concordo nem discordo";"Discordo";"Não concordo nem discordo"
"229";"Discordo";"Não concordo nem discordo";"Discordo";"Discordo";"Discordo";"Concordo";"Discordo fortemente";"Concordo fortemente";"Concordo fortemente";"Discordo fortemente";"Discordo fortemente";"Discordo fortemente";"Discordo fortemente";"Concordo fortemente";"Discordo fortemente";"Concordo fortemente";"Discordo fortemente"
"230";"Não concordo nem discordo";"Discordo fortemente";"Concordo";"Discordo";"Discordo";"Concordo";"Concordo";"Discordo fortemente";"Concordo";"Concordo fortemente";"Concordo fortemente";"Não concordo nem discordo";"Discordo fortemente";"Concordo";"Discordo fortemente";"Discordo";"Concordo fortemente"
"231";"Não concordo nem discordo";"Discordo fortemente";"Concordo";"Discordo fortemente";"Discordo fortemente";"Não concordo nem discordo";"Concordo fortemente";"Discordo fortemente";"Não concordo nem discordo";"Concordo fortemente";"Concordo fortemente";"Não concordo nem discordo";"Discordo fortemente";"Concordo";"Discordo parcialmente";"Discordo parcialmente";"Concordo fortemente"
"232";"Discordo fortemente";"Discordo fortemente";"Discordo fortemente";"Discordo";"Discordo fortemente";"Concordo fortemente";"Concordo fortemente";"Discordo";"Não concordo nem discordo";"Concordo";"Concordo";"Discordo";"Discordo fortemente";"Discordo fortemente";"Concordo parcialmente";"Concordo";"Discordo fortemente"
"233";"Discordo fortemente";"Concordo";"Concordo";"Concordo";"Discordo fortemente";"Concordo fortemente";"Não concordo nem discordo";"Não concordo nem discordo";"Concordo fortemente";"Discordo fortemente";"Discordo fortemente";"Concordo fortemente";"Discordo fortemente";"Discordo fortemente";"Discordo fortemente";"Discordo fortemente";"Discordo fortemente"
"234";"Concordo";"Discordo";"Discordo";"Discordo";"Discordo";"Concordo";"Não concordo nem discordo";"Concordo fortemente";"Concordo fortemente";"Discordo";"Discordo fortemente";"Não concordo nem discordo";"Discordo fortemente";"Concordo parcialmente";"Discordo fortemente";"Discordo parcialmente";"Não concordo nem discordo"
"235";"Não concordo nem discordo";"Discordo";"Concordo";"Concordo fortemente";"Discordo";"Concordo";"Não concordo nem discordo";"Concordo fortemente";"Concordo";"Não concordo nem discordo";"Discordo";"Não concordo nem discordo";"Discordo fortemente";"Concordo parcialmente";"Discordo parcialmente";"Não concordo nem discordo";"Concordo"
"236";"Discordo fortemente";"Não concordo nem discordo";"Discordo";"Concordo fortemente";"Discordo";"Concordo fortemente";"Não concordo nem discordo";"Discordo";"Discordo";"Discordo fortemente";"Discordo fortemente";"Não concordo nem discordo";"Discordo fortemente";"Concordo fortemente";"Não concordo nem discordo";"Concordo fortemente";"Concordo"
"237";"Não concordo nem discordo";"Discordo";"Concordo";"Concordo";"Discordo";"Concordo";"Discordo";"Não concordo nem discordo";"Concordo";"Discordo";"Discordo";"Discordo";"Discordo fortemente";"Discordo fortemente";"Concordo";"Não concordo nem discordo";"Concordo fortemente"
"238";"Não concordo nem discordo";"Discordo";"Não concordo nem discordo";"Não concordo nem discordo";"Discordo";"Concordo";"Concordo fortemente";"Concordo fortemente";"Concordo fortemente";"Concordo fortemente";"Discordo";"Não concordo nem discordo";"Discordo fortemente";"Discordo fortemente";"Concordo fortemente";"Concordo fortemente";"Concordo fortemente"
"239";"Concordo";"Discordo fortemente";"Concordo";"Concordo fortemente";"Discordo fortemente";"Concordo fortemente";"Não concordo nem discordo";"Concordo fortemente";"Concordo fortemente";"Discordo fortemente";"Discordo";"Discordo fortemente";"Discordo fortemente";"Não concordo nem discordo";"Não concordo nem discordo";"Discordo";"Discordo parcialmente"
"240";"Concordo";"Discordo";"Não concordo nem discordo";"Discordo fortemente";"Discordo";"Concordo fortemente";"Discordo";"Concordo";"Concordo fortemente";"Discordo fortemente";"Discordo";"Discordo";"Discordo";"Não concordo nem discordo";"Discordo fortemente";"Não concordo nem discordo";"Discordo parcialmente"
"241";"Discordo";"Discordo fortemente";"Concordo";"Concordo";"Discordo fortemente";"Concordo fortemente";"Concordo fortemente";"Discordo";"Não concordo nem discordo";"Concordo";"Discordo";"Discordo fortemente";"Discordo fortemente";"Concordo fortemente";"Não concordo nem discordo";"Não concordo nem discordo";"Concordo"
"242";"Discordo fortemente";"Não concordo nem discordo";"Não concordo nem discordo";"Discordo";"Discordo";"Concordo";"Concordo";"Concordo";"Não concordo nem discordo";"Discordo fortemente";"Discordo";"Discordo";"Discordo parcialmente";"Não concordo nem discordo";"Não concordo nem discordo";"Não concordo nem discordo";"Discordo parcialmente"
"243";"Não concordo nem discordo";"Discordo fortemente";"Concordo";"Concordo";"Discordo fortemente";"Concordo";"Não concordo nem discordo";"Concordo";"Concordo";"Discordo";"Não concordo nem discordo";"Discordo";"Não concordo nem discordo";"Não concordo nem discordo";"Discordo parcialmente";"Discordo parcialmente";"Concordo fortemente"
"244";"Não concordo nem discordo";"Concordo";"Discordo";"Não concordo nem discordo";"Discordo";"Concordo fortemente";"Concordo";"Não concordo nem discordo";"Concordo";"Discordo fortemente";"Discordo";"Não concordo nem discordo";"Discordo fortemente";"Concordo parcialmente";"Discordo fortemente";"Concordo parcialmente";"Discordo"
"245";"Discordo fortemente";"Discordo fortemente";"Concordo fortemente";"Concordo fortemente";"Discordo";"Concordo fortemente";"Discordo";"Concordo fortemente";"Concordo";"Discordo fortemente";"Discordo fortemente";"Discordo fortemente";"Discordo fortemente";"Não concordo nem discordo";"Discordo parcialmente";"Concordo parcialmente";"Concordo fortemente"
"246";"Não concordo nem discordo";"Discordo";"Concordo fortemente";"Discordo";"Concordo fortemente";"Concordo fortemente";"Não concordo nem discordo";"Concordo fortemente";"Concordo";"Não concordo nem discordo";"Discordo fortemente";"Discordo";"Concordo fortemente";"Discordo";"Discordo fortemente";"Discordo fortemente";"Concordo parcialmente"
"247";"Discordo";"Discordo";"Concordo";"Concordo";"Discordo";"Concordo";"Discordo fortemente";"Discordo fortemente";"Discordo";"Discordo fortemente";"Discordo fortemente";"Discordo fortemente";"Concordo fortemente";"Discordo fortemente";"Discordo fortemente";"Discordo parcialmente";"Concordo fortemente"
"248";"Discordo";"Não concordo nem discordo";"Concordo";"Discordo";"Discordo";"Concordo";"Concordo";"Concordo fortemente";"Discordo fortemente";"Discordo fortemente";"Discordo fortemente";"Discordo fortemente";"Discordo fortemente";"Concordo fortemente";"Discordo fortemente";"Concordo fortemente";"Discordo fortemente"
"249";"Discordo";"Discordo";"Concordo";"Não concordo nem discordo";"Discordo";"Concordo fortemente";"Discordo fortemente";"Concordo";"Concordo";"Discordo fortemente";"Discordo fortemente";"Discordo fortemente";"Discordo fortemente";"Discordo fortemente";"Concordo";"Discordo fortemente";"Discordo fortemente"
"250";"Discordo";"Discordo fortemente";"Concordo";"Concordo";"Discordo fortemente";"Concordo fortemente";"Concordo fortemente";"Não concordo nem discordo";"Não concordo nem discordo";"Não concordo nem discordo";"Não concordo nem discordo";"Discordo fortemente";"Discordo fortemente";"Discordo fortemente";"Discordo fortemente";"Não concordo nem discordo";"Discordo parcialmente"
"251";"Discordo";"Discordo";"Discordo fortemente";"Discordo";"Discordo";"Concordo";"Concordo fortemente";"Discordo";"Não concordo nem discordo";"Concordo";"Discordo";"Não concordo nem discordo";"Discordo fortemente";"Concordo fortemente";"Discordo";"Concordo";"Concordo"
"252";"Concordo";"Discordo";"Não concordo nem discordo";"Discordo";"Discordo";"Concordo fortemente";"Não concordo nem discordo";"Concordo fortemente";"Não concordo nem discordo";"Discordo fortemente";"Discordo";"Discordo";"Discordo fortemente";"Discordo fortemente";"Discordo fortemente";"Discordo parcialmente";"Discordo parcialmente"
"253";"Não concordo nem discordo";"Discordo";"Discordo";"Discordo";"Não concordo nem discordo";"Não concordo nem discordo";"Não concordo nem discordo";"Não concordo nem discordo";"Concordo";"Não concordo nem discordo";"Não concordo nem discordo";"Discordo";"Discordo fortemente";"Discordo parcialmente";"Discordo parcialmente";"Não concordo nem discordo";"Discordo"
"254";"Não concordo nem discordo";"Discordo";"Não concordo nem discordo";"Discordo fortemente";"Não concordo nem discordo";"Não concordo nem discordo";"Não concordo nem discordo";"Não concordo nem discordo";"Concordo fortemente";"Discordo";"Não concordo nem discordo";"Não concordo nem discordo";"Discordo fortemente";"Discordo parcialmente";"Discordo";"Discordo";"Discordo parcialmente"
"255";"Discordo fortemente";"Discordo";"Concordo";"Concordo";"Discordo";"Concordo";"Discordo fortemente";"Discordo fortemente";"Concordo fortemente";"Concordo fortemente";"Concordo fortemente";"Discordo fortemente";"Discordo fortemente";"Concordo fortemente";"Discordo fortemente";"Concordo fortemente";"Concordo fortemente"
"256";"Discordo";"Não concordo nem discordo";"Concordo fortemente";"Concordo fortemente";"Não concordo nem discordo";"Concordo fortemente";"Concordo";"Discordo fortemente";"Não concordo nem discordo";"Não concordo nem discordo";"Discordo fortemente";"Não concordo nem discordo";"Discordo fortemente";"Não concordo nem discordo";"Discordo fortemente";"Não concordo nem discordo";"Concordo fortemente"
"257";"Discordo";"Discordo fortemente";"Concordo fortemente";"Concordo fortemente";"Discordo fortemente";"Concordo fortemente";"Discordo fortemente";"Discordo fortemente";"Discordo fortemente";"Discordo fortemente";"Discordo fortemente";"Não concordo nem discordo";"Discordo fortemente";"Discordo parcialmente";"Não concordo nem discordo";"Não concordo nem discordo";"Discordo parcialmente"
"258";"Discordo";"Não concordo nem discordo";"Discordo";"Discordo fortemente";"Discordo";"Concordo";"Discordo fortemente";"Concordo fortemente";"Discordo fortemente";"Discordo fortemente";"Discordo fortemente";"Concordo fortemente";"Discordo fortemente";"Discordo fortemente";"Concordo fortemente";"Concordo fortemente";"Discordo fortemente"
"259";"Não concordo nem discordo";"Não concordo nem discordo";"Discordo fortemente";"Discordo";"Discordo";"Não concordo nem discordo";"Discordo fortemente";"Concordo";"Não concordo nem discordo";"Discordo fortemente";"Discordo fortemente";"Não concordo nem discordo";"Discordo fortemente";"Discordo fortemente";"Não concordo nem discordo";"Não concordo nem discordo";"Não concordo nem discordo"
"260";"Discordo fortemente";"Discordo";"Concordo fortemente";"Concordo fortemente";"Discordo fortemente";"Concordo fortemente";"Discordo fortemente";"Concordo";"Discordo fortemente";"Discordo fortemente";"Discordo";"Discordo";"Discordo";"Concordo fortemente";"Não concordo nem discordo";"Não concordo nem discordo";"Discordo fortemente"
"261";"Discordo";"Não concordo nem discordo";"Concordo fortemente";"Discordo";"Concordo";"Concordo fortemente";"Discordo fortemente";"Discordo";"Concordo";"Discordo";"Discordo";"Discordo";"Discordo parcialmente";"Concordo fortemente";"Discordo";"Concordo fortemente";"Não concordo nem discordo"
